Is Highlight,Object ID,Department,Object Name,Title,Artist Display Name,Year,Tags
FALSE,51399,Asian Art,Fan mounted as an album leaf,,Unidentified Artist,999,Bridges|Landscapes|Trees|Snow
TRUE,39915,Asian Art,Handscroll,北宋 傳屈鼎 夏山圖 卷|Summer Mountains,Qu Ding,1060,Mountains|Landscapes
TRUE,39668,Asian Art,Handscroll,"北宋    郭熙    樹色平遠圖    卷  |Old Trees, Level Distance",Guo Xi,1090,Buildings|Landscapes
FALSE,40002,Asian Art,Hanging scroll,北宋  佚名  倣范寬山水圖   軸|Landscape in the style of Fan Kuan,Unidentified Artist|Fan Kuan,1133,Mountains|Landscapes|Trees
FALSE,39959,Asian Art,Handscroll,金 傳楊邦基 聘金圖 巻|A Diplomatic Mission to the Jin,Yang Bangji,1159,Houses|Horse Riding|Mountains|Landscapes|Trees
FALSE,40054,Asian Art,Handscroll,南宋 馬和之 詩經豳風圖 卷|Odes of the State of Bin,Ma Hezhi,1166,Human Figures|Landscapes
TRUE,40055,Asian Art,Hanging scroll,南宋 佚名 明皇幸蜀圖 軸|Emperor Xuanzong's Flight to Shu,Unidentified Artist,1166,Men|Horse Riding|Landscapes
FALSE,40062,Asian Art,Fan mounted as an album leaf,南宋   傳閻次于   松壑隱棲圖   團扇|Hermitage by a Pine-covered Bluff,Yan Ciyu,1181,Landscapes
FALSE,40007,Asian Art,Handscroll,南宋  米友仁  雲山圖  卷|Cloudy Mountains,Mi Youren,1199,Mountains|Landscapes|Trees
FALSE,40053,Asian Art,Album leaf,,Xia Gui,1210,Landscapes|Fishing|Mountains
FALSE,40090,Asian Art,Fan mounted as an album leaf,南宋 梁楷 澤畔行吟圖 團扇|Poet strolling by a marshy bank,Liang Kai,1225,Landscapes|Poets
FALSE,36037,Asian Art,Album leaf,南宋  佚名  倣馬遠  松陰玩月圖  冊頁|Viewing the Moon under a Pine Tree,Ma Yuan,1233,Human Figures|Landscapes|Trees
FALSE,36055,Asian Art,Album leaf,南宋 馬麟 松下高士圖 冊頁 絹本|Landscape with great pine,Ma Lin,1250,Mountains|Landscapes|Trees
FALSE,44849,Asian Art,Handscroll,"『妙法蓮華経』「観世音菩薩普門品」|“Universal Gateway,” Chapter 25 of the Lotus Sutra",Sugawara Mitsushige,1257,Landscapes|Bodhisattvas|Buddhism
FALSE,40091,Asian Art,Folding fan mounted as an album leaf,南宋  佚名  春山曛暮圖   團扇|Early spring landscape,Unidentified Artist,1266,Landscapes|Trees|Spring
